,WD,arkid,nameAuth,urlAuth,Auktoriserad,Datum,Auktoritetspost,WD_Arken
3852,,,"Dahlgren, Georg Nikolaus","Dahlgren,-Georg-Nikolaus","Dahlgren, Georg Nikolaus",1868-1947,https://libris.kb.se/wf7g6h473zxjw61#it,Arken_only
3853,,,"Dahlgren, Leontine","Dahlgren,-Leontine-f-Cabré","Dahlgren, Leontine",1856-1925,ediffah:kb:327407:1282761380,Arken_only
3854,,,"Dahlgren, Ulla","Dahlgren,-Ulla","Dahlgren, Ulla",1818-1900,ediffah:kb:327407:1282761380,Arken_only
3856,,,"Dahlman, Teofron","Dahlman,-Teofron","Dahlman, Teofron",1895-1973,https://libris.kb.se/64jln31q3ql1cdn#it,Arken_only
3858,,,"Dahlén, Olle","Dahlén,-Olle","Dahlén, Olle",1908-,https://libris.kb.se/ljx181140kvqwt8#it,Arken_only
3860,,,"Dallby, Nils","Dallby,-Nils","Dallby, Nils",1848-1908,ediffah:kb:646124:1160728784,Arken_only
3862,,,"Danell, Kjell",danell-kjell,"Danell, Kjell",1946-,https://libris.kb.se/75kmmjgr2xxz11h#it,Arken_only
3864,,,"Danielsson, Bror Axel","Danielsson,-Bror-Axel","Danielsson, Bror Axel",1905-1988,ediffah:kb:802783:1138378855,Arken_only
3866,,,"Danver, Gabriella","Danver,-Gabriella","Danver, Gabriella",1940-,ediffah:kb:883711:1426517909,Arken_only
3868,,,"Dardel, Augusta Charlotta von","Dardel,-Augusta-Charlotta-von","Dardel, Augusta Charlotta von",1826-1915,ediffah:kb:490939:1478250591,Arken_only
3872,,,"Dardel, Marianne von","Dardel,-Marianne-von","Dardel, Marianne von",1902-1979,ediffah:kb:773374:1262187439,Arken_only
3873,,,"Dardel, Nils von","Dardel,-Nils-von","Dardel, Nils von",1853-1950,https://libris.kb.se/zw9dh8sh2rc39tf#it,Arken_only
3874,,,"Dardel, Ulf von","Dardel,-Ulf-von","Dardel, Ulf von",1912-1934,ediffah:kb:614270:1233152062,Arken_only
3878,,,De Ron (släkt),De-Ron-släkt,De Ron (släkt),,http://libris.kb.se/resource/bib/17260809,Arken_only
3881,,,"Demografiska databasen, Umeå universitet",demografiska-databasen-umea-universitet,"Demografiska databasen, Umeå universitet",,https://libris.kb.se/khwzw16322g65ft#it,Arken_only
3884,,,"Diamant, Herman",diamant-herman,"Diamant, Herman",1918-2013,https://libris.kb.se/gdsw3k205p3lcm2#it,Arken_only
3885,,,"Diczfalusy, Ann","Diczfalusy,-Ann","Diczfalusy, Ann",1912-2005,ediffah:kb:555502:1306960112,Arken_only
3889,,,"Ditzinger, Johann Gottlieb","Ditzinger,-Johann-Gottlieb","Ditzinger, Johann Gottlieb",1740-1797,ediffah:kb:1010526:1481298338,Arken_only
3890,,,"Dixelius, Märta","Dixelius,-Märta","Dixelius, Märta",1948-,https://libris.kb.se/75kns88r5fnsnn1#it,Arken_only
3891,,,Domänverket,domanverket,Domänverket,,https://libris.kb.se/qn242f68022c5kr#it,Arken_only
3895,,,"Douglas, Ellen","Douglas,-Ellen","Douglas, Ellen",1892-,ediffah:kb:583446:1416234126,Arken_only
3896,,,"Drake, Birger","Drake,-Birger","Drake, Birger",1920-2008,https://libris.kb.se/fcrttrdz3kn5c0h#it,Arken_only
3897,,,"Drucker, Betty","Warburg,-Betty","Drucker, Betty",1854-1923,https://libris.kb.se/dbqt34wx1rlncnh#it,Arken_only
3898,,,"Dryfoos, Orvil Eugene","Dryfoos,-Orvil-Eugene","Dryfoos, Orvil Eugene",1912-1963,ediffah:kb:285979:1415978596,Arken_only
3900,,,"Du Rietz, Gun-Britt","Du-Rietz,-Gun-Britt","Du Rietz, Gun-Britt",1947-,https://libris.kb.se/wt7997zf448778k#it,Arken_only
3902,,,"Due, Fredrik Georg Knut","Due,-Fredrik-Georg-Knut","Due, Fredrik Georg Knut",1833-1906,ediffah:kb:980671:1368617768,Arken_only
3903,,,"Dufwa, Alfred Wilhem","Dufwa,-Alfred-Wilhem","Dufwa, Alfred Wilhem",1867-1926,ediffah:kb:720531:1368608603,Arken_only
3904,,,"Dufwa, Alfred Wilhem, senior","Dufwa,-Alfred-Wilhem,-senior","Dufwa, Alfred Wilhem, senior",1825-1883,ediffah:kb:686829:1368617533,Arken_only
3905,,,"Dufwa, Jacques","Dufwa,-Jacques","Dufwa, Jacques",1913-2003,ediffah:kb:453823:1308818913,Arken_only
3907,,,"Düben, Alfred von","Düben,-Alfred-von","Düben, Alfred von",1827-1907,ediffah:kb:127977:1235146258,Arken_only
3913,,,"Echavarria Valenzuela, Yolanda","Echavarria-Valenzuela,-Yolanda","Echavarria Valenzuela, Yolanda",,https://libris.kb.se/dbqsss0x3038d61#it,Arken_only
3914,,,"Eckhoff, Märta",eckhoff-marta-2,"Eckhoff, Märta",1878-1970,https://libris.kb.se/0xbfjr4j4rl2rl2,Arken_only
3917,,,"Edgardh, Margareta Wentz","Wentz-Edgardh,-Margareta","Edgardh, Margareta Wentz",1925-2011,https://libris.kb.se/nl0394662n81wlx#it,Arken_only
3925,,,"Edqvist, Sven-Gustaf","Edqvist,-Sven-Gustaf","Edqvist, Sven-Gustaf",1925-,https://libris.kb.se/vs6887dd07j3tl8#it,Arken_only
3931,,,"Ehrenborg, Harald","Ehrenborg,-Harald","Ehrenborg, Harald",1849-1937,ediffah:kb:626365:1415015428,Arken_only
3932,,,"Ehrenström, Maximiliana Anna Maria","Ehrenström,-Maximiliana-Anna-Maria","Ehrenström, Maximiliana Anna Maria",1773-1867,ediffah:kb:342907:1414582645,Arken_only
3934,,,"Ehrström, Christman","Ehrström,-Christman","Ehrström, Christman",1935-1987,https://libris.kb.se/qn2443f836pgnqh#it,Arken_only
3936,,,"Einerstam, Gerd",einerstam-gerd,"Einerstam, Gerd",,https://libris.kb.se/1zcffgrk0kmltbw#it,Arken_only
3942,,,"Ekbom, Torsten Gunnar","Ekbom,-Torsten-Gunnar","Ekbom, Torsten Gunnar",1935-2014,ediffah:kb:835583:1456734115,Arken_only
3944,,,"Ekeblad, Anna","Ekeblad,-Anna","Ekeblad, Anna",1628-1685,ediffah:kb:950173:1415106161,Arken_only
3945,,,"Ekeblad, Brita","Ekeblad,-Brita","Ekeblad, Brita",1584-1651,ediffah:kb:950173:1415106161,Arken_only
3946,,,"Ekeblad, Christoffer Johansson","Ekeblad,-Christoffer-Johansson","Ekeblad, Christoffer Johansson",1592-1664,ediffah:kb:950173:1415106161,Arken_only
3947,,,"Ekeblad, Margareta","Ekeblad,-Margareta","Ekeblad, Margareta",1623-1676,ediffah:kb:950173:1415106161,Arken_only
3954,,,"Ekman, Elin",ekman-elin,"Ekman, Elin",1920-1994,https://libris.kb.se/75kmmm9r4w88dbb#it,Arken_only
3957,,,"Ekmarck, Christina Dorothea","Ekmarck,-Christina-Dorothea","Ekmarck, Christina Dorothea",1798-1881,https://libris.kb.se/kvkk0gn6hrpdrcnn#it,Arken_only
3958,,,"Ekmarck, Fredrik August","Ekmarck,-Fredrik-August","Ekmarck, Fredrik August",1826-1899,ediffah:kb:196590:1414586243,Arken_only
3959,,,"Ekmarck, Ida Johanna Mathilda","Ekmarck,-Ida-Johanna-Mathilda","Ekmarck, Ida Johanna Mathilda",1843-1925,ediffah:kb:196590:1414586243,Arken_only
3960,,,"Ekmarck, Maria Mathilda","Ekmarck,-Maria-Mathilda","Ekmarck, Maria Mathilda",1866-,ediffah:kb:196590:1414586243,Arken_only
3963,,,"Eksell, Olle",eksell-olle,"Eksell, Olle",1909-1985,https://libris.kb.se/vs68973d53l6hdq,Arken_only
3964,,,"Ekstedt, Elsi",92nn-kppk-z9dm,"Ekstedt, Elsi",1931-2008,https://libris.kb.se/dbqtzkpx3q0k59f#it,Arken_only
3965,,,"Ekstedt, Jan",ekstedt-jan,"Ekstedt, Jan",1931-2018,https://libris.kb.se/pm1333t745v830h#it,Arken_only
3972,,,"Ekwall, Knut Alfred","Ekwall,-Knut-Alfred","Ekwall, Knut Alfred",1843-1912,https://libris.kb.se/khwz1kz33g61171#it,Arken_only
3974,,,"Elgqvist, Hulda","Elgqvist,-Hulda","Elgqvist, Hulda",1855-1938,ediffah:kb:505585:1282869612,Arken_only
3975,,,"Elgqvist, Selma","Elgqvist,-Selma","Elgqvist, Selma",1889-1960,ediffah:kb:505585:1282869612,Arken_only
3976,,,"Elgstrom Lindahl, Turid","Elgstrom-Lindahl,-Turid","Elgstrom Lindahl, Turid",1923-,https://libris.kb.se/jgvz60225dslq51#it,Arken_only
3977,,,"Elgström, Wera","Elgström,-Wera","Elgström, Wera",1886-1972,ediffah:kb:540126:1415089997,Arken_only
3979,,,"Ellison, Carl","Ellison,-Carl","Ellison, Carl",,http://libris.kb.se/resource/bib/17260785,Arken_only
3987,,,Engelhardt (släkt),Engelhardt-släkt,Engelhardt (släkt),,http://libris.kb.se/resource/bib/17260726,Arken_only
3988,,,"Engelhardt, Catharina Ulrica","Engelhardt,-Catharina-Ulrica","Engelhardt, Catharina Ulrica",1764-1844,ediffah:kb:342907:1414582645,Arken_only
3989,,,"Engelhardt, Johan Casper","Engelhardt,-Johan-Casper","Engelhardt, Johan Casper",1718-1807,ediffah:kb:342907:1414582645,Arken_only
3990,,,"Engelhardt, Lovisa Fredrica","Engelhardt,-Lovisa-Fredrica","Engelhardt, Lovisa Fredrica",1757-1817,ediffah:kb:342907:1414582645,Arken_only
3991,,,"Engelhardt, Peter Wilhelm","Engelhardt,-Peter-Wilhelm","Engelhardt, Peter Wilhelm",1763-1819,ediffah:kb:342907:1414582645,Arken_only
3992,,,"Engelhardt, Sofia Maria Aurora","Engelhardt,-Sofia-Maria-Aurora","Engelhardt, Sofia Maria Aurora",1837-1918,ediffah:kb:342907:1414582645,Arken_only
3998,,,"Engström, Carl johan",engstrom-carl-johan,"Engström, Carl johan",1861-1936,https://libris.kb.se/fcrtwgqz590hhpw,Arken_only
4000,,,"Engström, Malin","Engström,-Malin","Engström, Malin",1897-1967,ediffah:kb:994263:1129112605,Arken_only
4002,,,"Engström, Sigrid","Engström,-Sigrid","Engström, Sigrid",1868-1942,ediffah:kb:747509:1365577537,Arken_only
4003,,,"Engvall, Britt","Engvall,-Britt","Engvall, Britt",verksam 1940-1970,https://libris.kb.se/53hltlmp0vqplgq,Arken_only
4004,,,"Enqvist, Algot Elvin","Enqvist,-Algot-Elvin","Enqvist, Algot Elvin",1901-1998,ediffah:kb:813948:1463042898,Arken_only
4005,,,"Enqvist, Elvin","Enqvist,-Elvin","Enqvist, Elvin",1909-1998,https://libris.kb.se/mkz13nz54hv2hlp,Arken_only
4011,,,"Ericsson, Tom",ericsson-tom,"Ericsson, Tom",1948-,https://libris.kb.se/97mppnrt2cs0bn3#it,Arken_only
4013,,,"Eriksson, David","Eriksson,-David","Eriksson, David",1871-1961,ediffah:kb:798077:1147262088,Arken_only
4020,,,"Eriksson, Stig Axel",eriksson-stig-axel,"Eriksson, Stig Axel",1942-,https://libris.kb.se/mkz112c55gnjgx6#it,Arken_only
4021,,,"Eriksson, Vilhelm","Rodius,-Vilhelm","Eriksson, Vilhelm",1911-2007,https://libris.kb.se/dbqt29kx0t0d9sg#it,Arken_only
4022,,,"Eriksson-Enckell, Aina",eriksson-enckell-aina,"Eriksson-Enckell, Aina",1912-2006,http://libris.kb.se/bib/1551857,Arken_only
4024,,,"Erkner, Gunnar",erkner-gunnar,"Erkner, Gunnar",1929-2013,https://libris.kb.se/53hkkkvp2v9h533#it,Arken_only
4026,,,"Erlingsdotter, Sara","Erlingsdotter,-Sara","Erlingsdotter, Sara",1963-,ediffah:kb:437759:1372332119,Arken_only
4028,,,"Ersson, Isak","Ersson,-Isak","Ersson, Isak",,ediffah:kb:423882:1144843724,Arken_only
4033,,,"Essen, Karin von","von-Essen,-Karin-Elisabeth","Essen, Karin von",1889-1979,ediffah:kb:914427:1393943332,Arken_only
4036,,,Evangelisk-lutherska kyrkan i Sverige,Evangelisk-lutherska-kyrkan-i-Sverige,Evangelisk-lutherska kyrkan i Sverige,,https://libris.kb.se/97mqxtht1fqwl1m#it,Arken_only
4040,,,"Fahlström, Frithiof","Fahlström,-Frithiof","Fahlström, Frithiof",1886-1972,ediffah:kb:982718:1438689411,Arken_only
4041,,,"Fahlström, Karin","Fahlström,-Karin","Fahlström, Karin",1900-1992,ediffah:kb:982718:1438689411,Arken_only
4044,,,"Falkman, Oskar","Falkman,-Oskar","Falkman, Oskar",1877-1961,ediffah:kb:876535:1153918263,Arken_only
4046,,,"Fallgren, Fingal","Fallgren,-Fingal","Fallgren, Fingal",1909-1974,https://libris.kb.se/nl038bg62hv72mk,Arken_only
4047,,,Falu-Kuriren,Falu-Kuriren,Falu-Kuriren,,https://libris.kb.se/vs686mvd17g983w#it,Arken_only
4049,,,"Faxe, Jacob Wilhelmsson","Faxe,-Jacob-Wilhelmsson","Faxe, Jacob Wilhelmsson",1730-1790,https://libris.kb.se/c9psw0dw43dfqr1#it,Arken_only
4050,,,"Fehr, Isac","Fehr,-Isac","Fehr, Isac",1850-1929,https://libris.kb.se/31fjrdfm10dhhk9#it,Arken_only
4051,,,"Feilitzen, Adam Johan von","Feilitzen,-Adam-Johan-von","Feilitzen, Adam Johan von",1662-1721,ediffah:kb:617463:1479736424,Arken_only
4052,,,"Feilitzen, Carolina von","Feilitzen,-Carolina-von","Feilitzen, Carolina von",1845-1890,ediffah:kb:617463:1479736424,Arken_only
4053,,,"Feilitzen, Gunnar von","Feilitzen,-Gunnar-von","Feilitzen, Gunnar von",1918-2003,ediffah:kb:617463:1479736424,Arken_only
4054,,,"Feilitzen, Ivar von","Feilitzen,-Ivar-von","Feilitzen, Ivar von",1882-,ediffah:kb:617463:1479736424,Arken_only
4055,,,"Feilitzen, Louise von",Louise-von-Feilitzen,"Feilitzen, Louise von",1845-,ediffah:kb:617463:1479736424,Arken_only
4056,,,"Feilitzen, Mathilda von",Mathilda-von-Feilitzen,"Feilitzen, Mathilda von",1883-1977,ediffah:kb:617463:1479736424,Arken_only
4057,,,"Feilitzen, Matthias Fredrik von",Matthias-Fredrik-von-Feilitzen,"Feilitzen, Matthias Fredrik von",1680-1702,ediffah:kb:617463:1479736424,Arken_only
4058,,,"Feilitzen, Victor von",Victor-von-Feilitzen,"Feilitzen, Victor von",1880-1958,ediffah:kb:617463:1479736424,Arken_only
4060,,,Femöresföreningen,femoresforeningen,Femöresföreningen,1864-1931,https://libris.kb.se/rp369lc93k8dfc6#it,Arken_only
4063,,,"Fieandt, Berndt Govert von","Fieandt,-Berndt-Govert-von","Fieandt, Berndt Govert von",1879-1962,ediffah:kb:950173:1415106161,Arken_only
4064,,,"Fieandt, Govert von","Fieandt,-Govert-von","Fieandt, Govert von",1879-1962,ediffah:kb:757678:1164040060,Arken_only
4065,,,"Fieandt, Hedvig Gustava von","Fieandt,-Hedvig-Gustava-von","Fieandt, Hedvig Gustava von",1809-1888,ediffah:kb:950173:1415106161,Arken_only
4066,,,"Fieandt, Otto Magnus von","Fieandt,-Otto-Magnus-von","Fieandt, Otto Magnus von",1796-1860,ediffah:kb:950173:1415106161,Arken_only
4067,,,Filmhistoriska samlingarna,Filmhistoriska-samlingarna,Filmhistoriska samlingarna,,https://libris.kb.se/tr58dmkc0rhgmjg,Arken_only
4068,,,Finlandskommittén,finlandskommitten,Finlandskommittén,,https://libris.kb.se/nl020g7638xk494#it,Arken_only
4070,,,Finska litteratursällskapet,Finska-litteratursällskapet,Finska litteratursällskapet,,https://libris.kb.se/qn242jb80gwpp20#it,Arken_only
4071,,,"Fischer, Elias","Fischer,-Elias","Fischer, Elias",1834-1889,ediffah:kb:849663:1437035044,Arken_only
4073,,,"Fischer, Hildur","Fischer,-Hildur","Fischer, Hildur",1843-1926,ediffah:kb:849663:1437035044,Arken_only
4075,,,"Fischer, Winifried","Fischer,-Winifried","Fischer, Winifried",1933-2002,ediffah:kb:882942:1429088587,Arken_only
4076,,,"Fisher Bergman, Else",fisher-bergman-else,"Fisher Bergman, Else",1918-2006,https://libris.kb.se/bib/21171865,Arken_only
4078,,,"Fjellman, Roland","Fjellman,-Roland","Fjellman, Roland",1920-2008,https://libris.kb.se/97mqzqqt2439954,Arken_only
4079,,,"Fjellström, Per",fjellstrom-per,"Fjellström, Per",1915-2011,https://libris.kb.se/86lnpjzs1gtxznn#it,Arken_only
4088,,,"Fogelberg, Johannes","Fogelberg,-Johannes","Fogelberg, Johannes",1806-1895,ediffah:kb:767839:1180101851,Arken_only
4089,,,"Fogelqvist, Alice",fogelqvist-alice,"Fogelqvist, Alice",1884-1970,https://libris.kb.se/zw9dh7rh4gfq7fm#it,Arken_only
4091,,,Fogelstadgruppen,Fogelstadgruppen,Fogelstadgruppen,,https://libris.kb.se/75knvbjr3k94tzh,Arken_only
4094,,,Folkpartiet liberalerna,folkpartiet-liberalerna,Folkpartiet liberalerna,1934-2015,https://libris.kb.se/86lnl2zs03dggxp#it,Arken_only
4096,,,"Forell, Birger Erland Severin","Forell,-Birger-Erland-Severin","Forell, Birger Erland Severin",1893-1958,ediffah:kb:391151:1367491987,Arken_only
4097,,,"Forell, Calise","Forell,-Calise","Forell, Calise",1886-1965,ediffah:kb:391151:1367491987,Arken_only
4099,,,"Forsberg, Julie Wilhelmina","Ameen,-Wilhelmina-Julia","Forsberg, Julie Wilhelmina",1825-1902,https://libris.kb.se/mkz25375533qctj#it,Arken_only
4100,,,"Forsberg, Merit","Forsberg,-Merit","Forsberg, Merit",1912-2007,ediffah:kb:261471:1393488629,Arken_only
4103,,,"Forsgren, Elsa",forsgren-elsa,"Forsgren, Elsa",1920-2012,https://libris.kb.se/wt7bhrgf3pkjh59,Arken_only
4104,,,"Forsgren, Eric",forsgren-eric-2,"Forsgren, Eric",1928-2018,https://libris.kb.se/c9ps192w0s26p4l#it,Arken_only
4106,,,"Forsgren, Tuuli",forsgren-tuuli,"Forsgren, Tuuli",1942-2012,https://libris.kb.se/42gjk8xn3rcz7zx#it,Arken_only
4110,,,"Forsslund, Nils Wilhelm","Forsslund,-Nils-Wilhelm","Forsslund, Nils Wilhelm",1788-1870,https://libris.kb.se/zw9djkzh5ct96bc#it,Arken_only
4114,,,"Franchetti, Luigi","Franchetti,-Luigi","Franchetti, Luigi",1891-,ediffah:kb:495327:1270823290,Arken_only
4121,,,"Franzén, Christina Elisabeth","Franzén,-Christina-Elisabeth","Franzén, Christina Elisabeth",1783-1859,ediffah:kb:552671:1414673132,Arken_only
4122,,,"Franzén, Gösta","Franzén,-Gösta","Franzén, Gösta",1906-2002,https://libris.kb.se/tr579n4c1rtwvbc#it,Arken_only
4123,,,Fratres amicitiae verae,Fratres-amicitiae-verae,Fratres amicitiae verae,,ediffah:kb:130039:1142515416,Arken_only
4126,,,"Fredholm, Johan Gotthard",fredholm-j-g,"Fredholm, Johan Gotthard",1795-1855,https://libris.kb.se/97mqvx3t3k6k7rf#it,Arken_only
4128,,,Fredrika-Bremer-förbundet,Fredrika-Bremer-förbundet,Fredrika-Bremer-förbundet,,https://libris.kb.se/tr575mxc0b8kpf1#it,Arken_only
4130,,,"Fredén, Clas Albert","Fredén,-Clas-Albert","Fredén, Clas Albert",1877-,ediffah:kb:291839:1141396303,Arken_only
4131,,,"Frerichs, Gesine","Frerichs,-Gesine","Frerichs, Gesine",1884-1914,ediffah:kb:863557:1415012433,Arken_only
4132,,,"Friberg, Erik Axel","Friberg,-Erik-Axel","Friberg, Erik Axel",1905-1947,https://libris.kb.se/1bz7j3x6zq15vl5n#it,Arken_only
4136,,,"Fries Markiewicz, Johanna","Fries,-Johanna","Fries Markiewicz, Johanna",1961-,https://libris.kb.se/20dhndsl0dbq9dc#it,Arken_only
4139,,,"Friesen, Otto Bertil von","Friesen,-Otto-Bertil-von","Friesen, Otto Bertil von",1901-1990,ediffah:kb:833911:1415020820,Arken_only
4140,,,Frikyrkliga studieförbundet,Frikyrkliga-studieförbundet,Frikyrkliga studieförbundet,,https://libris.kb.se/nl020gt65g8qczm#it,Arken_only
4142,,,Frimurarorden,Frimurarorden,Frimurarorden,,https://libris.kb.se/64jmq1kq0l8fmn6#it,Arken_only
4150,,,"Fryxell, Juliana","Frykxell,-Juliana","Fryxell, Juliana",1804-1868,ediffah:kb:292093:1436336651,Arken_only
4151,,,"Fryxell, Louise","Fryxell,-Louise","Fryxell, Louise",1834-1907,https://libris.kb.se/nl024t561f0zwx1#it,Arken_only
4152,,,"Fryxell, Mathilda","Fryxell,-Julia-Mathilda","Fryxell, Mathilda",1830-1909,https://libris.kb.se/hsm8j5w5f9nwf7zs#it,Arken_only
4155,,,"Fröderström, Kurt","Fröderström,-Kurt-Harald","Fröderström, Kurt",1913-1963,https://libris.kb.se/1zcgphmk4w1qb5t,Arken_only
4158,,,"Frölén, Hugo F.",frolen-hugo-f,"Frölén, Hugo F.",1865-1935,https://libris.kb.se/31fjr3dm4kz9186#it,Arken_only
4159,,,Funck (släkt),Funck-släkt,Funck (släkt),,http://libris.kb.se/resource/bib/17261261,Arken_only
4161,,,"Funck, Fredrik","Funck,-Fredrik","Funck, Fredrik",,ediffah:kb:390135:1382518510,Arken_only
4162,,,"Funck, Gunhild Emilia","Funck,-Gunhild-Emilia","Funck, Gunhild Emilia",1867-1936,ediffah:kb:390135:1382518510,Arken_only
4164,,,"Funck, Harald","Funck,-Harald","Funck, Harald",,ediffah:kb:390135:1382518510,Arken_only
4167,,,Föreningen 1880 års män,Föreningen-1880-års-män,Föreningen 1880 års män,,ediffah:kb:391046:1397457954,Arken_only
4169,,,Föreningen 1891 års män,Föreningen-1891-års-män,Föreningen 1891 års män,,http://libris.kb.se/resource/bib/17261025,Arken_only
4170,,,Föreningen 1908 års män,foreningen-1908-ars-man,Föreningen 1908 års män,,https://libris.kb.se/42gjmzdn2x07q0q,Arken_only
4171,,,Föreningen Biblis,Föreningen-Biblis,Föreningen Biblis,1997-,https://libris.kb.se/jgvx1j820nr0szr#it,Arken_only
4172,,,Föreningen Klasskamraterna,Föreningen-Klasskamraterna,Föreningen Klasskamraterna,,http://libris.kb.se/resource/bib/17260900,Arken_only
4173,,,Föreningen Liv i Sverige,Liv-i-Sverige,Föreningen Liv i Sverige,,https://libris.kb.se/tr575ndc1s692d1#it,Arken_only
4174,,,Föreningen Norden,Föreningen-Norden,Föreningen Norden,,https://libris.kb.se/rp3571k94c1046g#it,Arken_only
4175,,,Föreningen Svenska Tecknare,Svenska-Tecknare,Föreningen Svenska Tecknare,,https://libris.kb.se/xv8b8rmg0b2rkqz#it,Arken_only
4176,,,Förenta nationerna,Förenta-nationerna,Förenta nationerna,,https://libris.kb.se/sq47gkcb4s5kj64#it,Arken_only
4177,,,Författarcentrum,Författarcentrum,Författarcentrum,,https://libris.kb.se/zw9c9ssh59ccmnq#it,Arken_only
4179,,,"Fürstenberg, Wulff","Fürstenberg,-Wulff","Fürstenberg, Wulff",1891-1990,https://libris.kb.se/pm14c4r75fn7bmd,Arken_only
4180,,,"Fürstenhäuser, Georg Ludvig",furstenhauser-johanludvig,"Fürstenhäuser, Georg Ludvig",1611-1694,https://libris.kb.se/bnqvnhjl8zt4k30k#it,Arken_only
4181,,,"Gabrielsson, Arvid","Gabrielsson,-Arvid","Gabrielsson, Arvid",1879-1972,ediffah:kb:983038:1254145406,Arken_only
4183,,,"Gahn, Fredrica Lovisa","Gahn,-Fredrica-Lovisa","Gahn, Fredrica Lovisa",1824-1888,ediffah:kb:720891:1397468437,Arken_only
4184,,,"Gahn, Henric Pontus Wolter","Gahn,-Henric-Pontus-Wolter","Gahn, Henric Pontus Wolter",1820-1901,ediffah:kb:720891:1397468437,Arken_only
4185,,,Galleri Aronowitsch,Galleri-Aronowitsch,Galleri Aronowitsch,1966-2011,ediffah:kb:981247:1429186903,Arken_only
4186,,,Gartnerfonden,Gartnerfonden,Gartnerfonden,,ediffah:kb:748559:1144768408,Arken_only
4187,,,"Gauffin, Alma","Gauffin,-Alma","Gauffin, Alma",1839-1923,ediffah:kb:815605:1131452102,Arken_only
4188,,,"Gaunitz, Sven",gaunitz-sven,"Gaunitz, Sven",1935-,https://libris.kb.se/wt79b2nf1s8jblh#it,Arken_only
4189,,,"Gavelius Renwik, Ingrid","Renwik,-Ingrid-Eleonora-Gavelius","Gavelius Renwik, Ingrid",1918-2000,https://libris.kb.se/hftwwzz13q6hv3l#it,Arken_only
4195,,,"Genberg, Elisabeth Andersdotter","Genberg,-Elisabeth-Andersdotter","Genberg, Elisabeth Andersdotter",1815-1895,ediffah:kb:175604:1131545865,Arken_only
4196,,,"Genrup, Kurt",genrup-kurt,"Genrup, Kurt",1944-,https://libris.kb.se/sq467blb2qltn88#it,Arken_only
4197,,,"Gentele, Claes-Göran","Gentele,-Claes-Göran","Gentele, Claes-Göran",,ediffah:kb:549423:1416226903,Arken_only
4199,,,"Gerell, Anna Margareta Ulrika","Gerell,-Anna-Margareta-Ulrika","Gerell, Anna Margareta Ulrika",1898-1982,ediffah:kb:818158:1492676718,Arken_only
4200,,,"Geringius, Andreas",geringius-andreas,"Geringius, Andreas",1670-1746,https://libris.kb.se/42gkp2bn5q5nbj2#it,Arken_only
4204,,,"Gethe, Carl Johan","Gethe,-Carl-Johan","Gethe, Carl Johan",1728-1765,ediffah:kb:982687:1180014865,Arken_only
4212,,,"Gillby, Johannes",gillby-johannes,"Gillby, Johannes",1896-1980,https://libris.kb.se/ljx025940jmn4sc#it,Arken_only
4217,,,"Gleichová, Jarka","Gleichová,-Jarka","Gleichová, Jarka",1922-,ediffah:kb:495327:1270823290,Arken_only
4226,,,"Gran, Theophilus",gran-theophilus,"Gran, Theophilus",1723-1797,https://libris.kb.se/0xbfnf1j034vv0q#it,Arken_only
4227,,,Graninge,graninge,Graninge,1873-2004,https://libris.kb.se/86lpsfks2wzkf0v#it,Arken_only
4229,,,"Granlund, C. E.","Granlund,-C-E","Granlund, C. E.",,ediffah:kb:786152:1412645782,Arken_only
4231,,,"Granqvist, Raoul J",granqvist-raoul-j,"Granqvist, Raoul J",1940-,https://libris.kb.se/rp356r0919w8s68#it,Arken_only
4233,,,"Granström, Evald","Granström,-Evald","Granström, Evald",1857-1941,ediffah:kb:817005:1227798996,Arken_only
4234,,,"Granström, Gustaf","Granström,-Gustaf","Granström, Gustaf",1826-1902,ediffah:kb:817005:1227798996,Arken_only
4239,,,"Grape, Hjalmar",grape-hjalmar,"Grape, Hjalmar",1892-1984,https://libris.kb.se/2cd8d76k0r7wgpj1#it,Arken_only
4251,,,"Grimsrud, Beate",grimsrud-beate,"Grimsrud, Beate",1963-2020,https://libris.kb.se/xv8cg3tg07n6379#it,Arken_only
4253,,,"Gripenhielm, Nils",gripenhielm-nils,"Gripenhielm, Nils",1653-1706,https://libris.kb.se/1zcfhjkk0m032fv#it,Arken_only
4254,,,"Groll, Oscar Napoleon","Groll,-Oscar-Napoleon","Groll, Oscar Napoleon",1840-1913,ediffah:kb:121723:1237553490,Arken_only
4255,,,"Groll, Viktor Lennart Emanuel","Groll,-Viktor-Lennart-Emanuel","Groll, Viktor Lennart Emanuel",1845-1896,ediffah:kb:121723:1237553490,Arken_only
4257,,,Grubb (släkt),Grubb-släkt,Grubb (släkt),,ediffah:kb:518110:1145633662,Arken_only
4258,,,"Grubb, Nicolaus","Grubb,-Nicolaus","Grubb, Nicolaus",1590-1622,ediffah:kb:518110:1145633662,Arken_only
4262,,,"Grünbaum, David","Grünbaum,-David","Grünbaum, David",1888-1976,ediffah:kb:753530:1180101920,Arken_only
4271,,,"Gunnäs, Sigfrid Paulsson","Gunnäs,-Sigfrid-Paulsson","Gunnäs, Sigfrid Paulsson",1880-1924,ediffah:kb:963551:1415345577,Arken_only
