,item,itemLabel,date,origin,originLabel,origin_latitude,origin_longitude,destination,destinationLabel,destination_latitude,destination_longitude
0,https://database.factgrid.de/entity/Q3472,"Letter Franz Michael Leuchsenring to Johann Joachim Christoph Bode, Berlin, 1783-02-04",1783-02-04 00:00:00+00:00,https://database.factgrid.de/entity/Q10312,Berlin,52.516667,13.388889,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
1,https://database.factgrid.de/entity/Q3473,"Letter Franz Michael Leuchsenring to Johann Joachim Christoph Bode, Berlin, 1788-06-08",1788-06-08 00:00:00+00:00,https://database.factgrid.de/entity/Q10312,Berlin,52.516667,13.388889,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
2,https://database.factgrid.de/entity/Q3474,"Letter Franz Michael Leuchsenring to Johann Joachim Christoph Bode, Berlin, 1788-05-05",1788-05-05 00:00:00+00:00,https://database.factgrid.de/entity/Q10312,Berlin,52.516667,13.388889,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
3,https://database.factgrid.de/entity/Q3356,"Letter Adolph Franz Friedrich Ludwig Freiherr von Knigge to Johann Joachim Christoph Bode, Halberstadt, 1784-01-31",1784-01-31 00:00:00+00:00,https://database.factgrid.de/entity/Q10374,Halberstadt,51.895833,11.046667,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
4,https://database.factgrid.de/entity/Q3399,"Letter Otto Friedrich Adolph von Köppern to Johann Joachim Christoph Bode, Hanau, 1783-12-26",1783-12-26 00:00:00+00:00,https://database.factgrid.de/entity/Q10377,Hanau,50.126412,8.92831,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
5,https://database.factgrid.de/entity/Q3400,"Letter Otto Friedrich Adolph von Köppern to Johann Joachim Christoph Bode, Hanau, 1784-03-09",1784-03-09 00:00:00+00:00,https://database.factgrid.de/entity/Q10377,Hanau,50.126412,8.92831,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
6,https://database.factgrid.de/entity/Q3401,"Letter Otto Friedrich Adolph von Köppern to Johann Joachim Christoph Bode, Hanau, 1784-04-05",1784-04-05 00:00:00+00:00,https://database.factgrid.de/entity/Q10377,Hanau,50.126412,8.92831,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
7,https://database.factgrid.de/entity/Q3357,"Letter Adolph Franz Friedrich Ludwig Freiherr von Knigge to Johann Joachim Christoph Bode, Walbeck (Hettstedt), 1784-02-03",1784-02-03 00:00:00+00:00,https://database.factgrid.de/entity/Q10489,Walbeck,51.648444,11.511982,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
8,https://database.factgrid.de/entity/Q3358,"Letter Adolph Franz Friedrich Ludwig Freiherr von Knigge to Johann Joachim Christoph Bode, Walbeck (Hettstedt), 1784-02-03",1784-02-03 00:00:00+00:00,https://database.factgrid.de/entity/Q10489,Walbeck,51.648444,11.511982,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
9,https://database.factgrid.de/entity/Q3483,"Letter Justus Christian von Loder to Johann Joachim Christoph Bode, Jena, 1783-12-02",1783-12-02 00:00:00+00:00,https://database.factgrid.de/entity/Q10391,Jena,50.927054,11.589237,https://database.factgrid.de/entity/Q10289,Weimar,50.979493,11.323544
